repo_date,repo_rate
October 2021,1
September 2021,1
August 2021,1
July 2021,1
June 2021,1
May 2021,1
April 2021,1
March 2021,1
February 2021,1
January 2021,1
December 2020,1
November 2020,1
October 2020,1
September 2020,1
August 2020,1
July 2020,1
June 2020,1
May 2020,1
April 2020,1
March 2020,1
February 2020,2.25
January 2020,2.25
December 2019,2.25
November 2019,2.25
October 2019,2.25
September 2019,2.5
August 2019,2.75
July 2019,2.75
June 2019,3
May 2019,3
April 2019,3
March 2019,3
February 2019,3
January 2019,3
December 2018,3
November 2018,2.75
October 2018,2.75
September 2018,2.75
August 2018,2.5
July 2018,2.5
June 2018,2.5
May 2018,2.25
April 2018,2.25
March 2018,2.25
February 2018,2
January 2018,2
December 2017,2
November 2017,2
October 2017,2
September 2017,2
August 2017,2
July 2017,2
June 2017,2
May 2017,2
April 2017,2
March 2017,2
February 2017,2
January 2017,2
December 2016,2
November 2016,2
October 2016,2
September 2016,2
August 2016,2
July 2016,2
June 2016,2
May 2016,2
April 2016,2
March 2016,2
February 2016,2
January 2016,2
December 2015,2
November 2015,2
October 2015,2
September 2015,2
August 2015,2
July 2015,2
June 2015,2
May 2015,2
April 2015,2
March 2015,2
February 2015,2
January 2015,2
December 2014,2
November 2014,2
October 2014,2
September 2014,2
August 2014,2
July 2014,2
June 2014,2
May 2014,2
April 2014,2
March 2014,2
February 2014,2
January 2014,2
December 2013,2
November 2013,2
October 2013,2
September 2013,2
August 2013,2
July 2013,2
June 2013,2
May 2013,2
April 2013,2
March 2013,2
February 2013,2
January 2013,2
December 2012,2
November 2012,2
October 2012,2
September 2012,2
August 2012,2
July 2012,2
June 2012,2
May 2012,2
April 2012,2
March 2012,2
February 2012,2
January 2012,2
December 2011,2
November 2011,2
October 2011,2
September 2011,2
August 2011,2
July 2011,2
June 2011,2
May 2011,2
April 2011,2
March 2011,2
February 2011,2
January 2011,2
December 2010,2
November 2010,2
October 2010,2
September 2010,2
August 2010,2
July 2010,2
June 2010,2
May 2010,2
April 2010,2
March 2010,2
February 2010,2
January 2010,2
December 2009,2
November 2009,2
October 2009,2
September 2009,2
August 2009,2
July 2009,2
June 2009,2
May 2009,2
April 2009,2
March 2009,2
February 2009,2
January 2009,2